Nifty bank,Canara bank
20721.3,286
20727.6,284
21102.7,284.8
21157.9,289.5
21249.9,295.6
21175.1,292.9
21110.3,294.3
21019,288.5
20781.3,282.3
20895.5,283
21122.6,293.3
21056.9,296.8
21225.4,297.2
21391.2,302.1
21620.7,303.1
21444.2,302.8
21547.8,304.5
21652.7,310.5
21622.9,310
21431.2,304.8
21520.2,309.5
21736.2,316
21666.8,312.3
21686.6,314.5
21647.6,310.2
21671.8,312.8
21556.3,317.6
21491.4,325.1
21551.4,323.1
21857.4,328.8
22054.7,331.6
22242.8,330
22326.3,329.3
22358.3,357.5
22341.3,367.6
22307.3,367.1
22720.1,388.1
22604.9,394.5
22767.3,395
22707.3,373.6
22830.3,368.5
22818.4,371.1
22671.7,366
22821.5,364.3
22928.6,373.1
22935.9,374
22698.6,368.3
22769.8,367.6
22652.8,361.7
22582.8,357.4
22536.3,353.1
23190.8,358.6
23362.2,360
23182.8,350.6
23307.3,355.7
23424.8,350.9
23310.2,352.7
23375.9,360
23459.7,362.6
23416.3,358.5
23567.7,362.7